Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,url
First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,"April 29, 2011",10361,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstchoice.html
Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011",10360,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cortez.html
First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011",10362,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbcf.html
Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,"April 15, 2011",10354,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritage-ms.html
Rosemount National Bank,Rosemount,MN,24099,Central Bank,"April 15, 2011",10357,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rosemount.html
Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association","April 15, 2011",10358,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/superior-al.html
Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,"April 15, 2011",10356,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nexity.html
New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,"April 15, 2011",10355,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newhorizons.html
Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,"April 15, 2011",10353,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bartow.html
Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,"April 8, 2011",10351,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nevadacommerce.html
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,"April 8, 2011",10352,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westernsprings.html
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,"March 25, 2011",10350,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofcommerce.html
Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,"March 11, 2011",10348,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/legacy-wi.html
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,"March 11, 2011",10349,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatldavis.html
Valley Community Bank,St. Charles,IL,34187,First State Bank,"February 25, 2011",10347,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/valleycomm.html
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,"February 18, 2011",10346,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sanluistrust.html
Charter Oak Bank,Napa,CA,57855,Bank of Marin,"February 18, 2011",10343,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/charteroak.html
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,"February 18, 2011",10344,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensbk-ga.html
Habersham Bank,Clarkesville,GA,151,SCBT National Association,"February 18, 2011",10345,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/habersham.html
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,"February 11, 2011",10340,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/canyonstate.html
Badger State Bank,Cassville,WI,13272,Royal Bank,"February 11, 2011",10339,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/badgerstate.html
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,"February 11, 2011",10341,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplesstatebank.html
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.","February 11, 2011",10342,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunshinestate.html
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,"February 4, 2011",10337,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commfirst-il.html
North Georgia Bank,Watkinsville,GA,35242,BankSouth,"February 4, 2011",10338,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northgabank.html
American Trust Bank,Roswell,GA,57432,Renasant Bank,"February 4, 2011",10336,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americantrust.html
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.","January 28, 2011",10333,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcomm-nm.html
FirsTier Bank,Louisville,CO,57646,No Acquirer,"January 28, 2011",10334,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstier.html
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,"January 28, 2011",10332,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/evergreenstatewi.html
The First State Bank,Camargo,OK,2303,Bank 7,"January 28, 2011",10335,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firststatebank-ok.html
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,"January 21, 2011",10331,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unitedwestern.html
The Bank of Asheville,Asheville,NC,34516,First Bank,"January 21, 2011",10330,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofasheville.html
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association","January 21, 2011",10328,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commsouth.html
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,"January 21, 2011",10329,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/enterprise.html
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,"January 14, 2011",10327,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oglethorpe.html
Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,"January 7, 2011",10326,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/legacybank.html
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,"January 7, 2011",10325,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcommercial.html
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,"December 17, 2010",10321,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communitynatl.html
First Southern Bank,Batesville,AR,58052,Southern Bank,"December 17, 2010",10322,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsouthern.html
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,"December 17, 2010",10323,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unitedamericas.html
"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,"December 17, 2010",10319,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/appalachianga.html
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,"December 17, 2010",10320,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/chestatee.html
