Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,url
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,"December 17, 2010",10324,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofmiami.html
Earthstar Bank,Southampton,PA,35561,Polonia Bank,"December 10, 2010",10317,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/earthstar.html
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,"December 10, 2010",10318,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/paramount.html
First Banking Center,Burlington,WI,5287,First Michigan Bank,"November 19, 2010",10315,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbanking.html
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,"November 19, 2010",10314,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/allegbank.html
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,"November 19, 2010",10316,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gulfstate.html
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.","November 12, 2010",10311,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/copperstar.html
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,"November 12, 2010",10312,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/darbybank.html
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,"November 12, 2010",10313,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tifton.html
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,"November 5, 2010",10307,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstvietnamese.html
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,"November 5, 2010",10309,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/piercecommercial.html
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,"November 5, 2010",10310,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westerncommercial-ca.html
K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),"November 5, 2010",10308,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/kbank.html
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,"October 22, 2010",10306,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstazfsb.html
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.","October 22, 2010",10302,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hillcrest-ks.html
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,"October 22, 2010",10301,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsuburban.html
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,"October 22, 2010",10304,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbbarnesville.html
The Gordon Bank,Gordon,GA,33904,Morris Bank,"October 22, 2010",10305,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gordon.html
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,"October 22, 2010",10303,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/progress-fl.html
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,"October 22, 2010",10300,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankjacksonville.html
Premier Bank,Jefferson City,MO,34016,Providence Bank,"October 15, 2010",10297,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premier-mo.html
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,"October 15, 2010",10299,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westbridge.html
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,"October 15, 2010",10298,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitysavingsfsb.html
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,"October 1, 2010",10295,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/shoreline.html
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,"October 1, 2010",10296,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wakulla.html
North County Bank,Arlington,WA,35053,Whidbey Island Bank,"September 24, 2010",10294,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northcounty.html
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,"September 24, 2010",10293,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/haventrust-fl.html
Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB","September 17, 2010",10291,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/maritimesavings.html
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,"September 17, 2010",10288,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bramblesavings.html
The Peoples Bank,Winder,GA,182,Community & Southern Bank,"September 17, 2010",10292,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplesbank-ga.html
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,"September 17, 2010",10289,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcommerce-ga.html
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,"September 17, 2010",10287,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ellijay.html
ISN Bank,Cherry Hill,NJ,57107,Customers Bank,"September 17, 2010",10290,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/isnbank.html
Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,"September 10, 2010",10286,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/horizonfl.html
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,"August 20, 2010",10285,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sonoma.html
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,"August 20, 2010",10282,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lospadres.html
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.","August 20, 2010",10278,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/butte.html
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.","August 20, 2010",10283,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pacificbk.html
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,"August 20, 2010",10284,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/shorebank.html
Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.","August 20, 2010",10280,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/imperialsvgs.html
Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.","August 20, 2010",10281,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/inatbank.html
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.","August 20, 2010",10279,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cnbbartow.html
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,"August 13, 2010",10277,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/palosbank.html
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,"August 6, 2010",10276,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ravenswood.html
LibertyBank,Eugene,OR,31964,Home Federal Bank,"July 30, 2010",10273,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/libertyor.html
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,"July 30, 2010",10275,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cowlitz.html
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,"July 30, 2010",10272,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coastal.html
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,"July 30, 2010",10271,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bayside.html
Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,"July 30, 2010",10274,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northwestga.html
Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,"July 23, 2010",10266,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homevalleyor.html
SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,"July 23, 2010",10267,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/southwestusanv.html
Community Security Bank,New Prague,MN,34486,Roundbank,"July 23, 2010",10264,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communitysecmn.html
Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,"July 23, 2010",10269,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/thunderbankks.html
Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.","July 23, 2010",10270,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/williamsburgsc.html
Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,"July 23, 2010",10265,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/crescentga.html
Sterling Bank,Lantana,FL,32536,IBERIABANK,"July 23, 2010",10268,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sterlingfl.html
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,"July 16, 2010",10258,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstsvgs.html
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.","July 16, 2010",10260,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oldecypress.html
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,"July 16, 2010",10261,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/turnberry.html
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,"July 16, 2010",10259,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metrobankfl.html
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,"July 16, 2010",10263,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatlsc.html
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,"July 16, 2010",10262,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/woodlands.html
Home National Bank,Blackwell,OK,11636,RCB Bank,"July 9, 2010",10256,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homenatlok.html
USA Bank,Port Chester,NY,58072,New Century Bank,"July 9, 2010",10254,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/usabankny.html
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,"July 9, 2010",10257,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/idealfedsvngsmd.html
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB","July 9, 2010",10255,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/baynatlmd.html
High Desert State Bank,Albuquerque,NM,35279,First American Bank,"June 25, 2010",10252,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/highdesertnm.html
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.","June 25, 2010",10251,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatga.html
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.","June 25, 2010",10253,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peninsulafl.html
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,"June 18, 2010",10250,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nevsecbank.html
Washington First International Bank,Seattle,WA,32955,East West Bank,"June 11, 2010",10249,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/washfirstintl.html
TierOne Bank,Lincoln,NE,29341,Great Western Bank,"June 4, 2010",10248,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tieronebankne.html
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,"June 4, 2010",10246,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/arcolail.html
First National Bank,Rosedale,MS,15814,The Jefferson Bank,"June 4, 2010",10247,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatms.html
Sun West Bank,Las Vegas,NV,34785,City National Bank,"May 28, 2010",10245,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/swbnevada.html
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,"May 28, 2010",10244,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/graniteca.html
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,"May 28, 2010",10243,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankoffloridatb.html
Bank of Florida - Southwest,Naples,FL,35106,EverBank,"May 28, 2010",10242,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankoffloridasw.html
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,"May 28, 2010",10241,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankoffloridase.html
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,"May 21, 2010",10240,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pinehurstmn.html
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.","May 14, 2010",10236,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/midwestil.html
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,"May 14, 2010",10239,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/swcmntymo.html
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,"May 14, 2010",10237,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newlibertymi.html
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,"May 14, 2010",10238,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/satillacmntyga.html
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,"May 7, 2010",10232,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/1stpacific.html
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,"May 7, 2010",10235,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/townebank.html
Access Bank,Champlin,MN,16476,PrinsBank,"May 7, 2010",10233,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/accessbank.html
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,"May 7, 2010",10234,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bonifay.html
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.","April 30, 2010",10228,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/frontier.html
BC National Banks,Butler,MO,17792,Community First Bank,"April 30, 2010",10225,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bc-natl.html
Champion Bank,Creve Coeur,MO,58362,BankLiberty,"April 30, 2010",10227,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/champion.html
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,"April 30, 2010",10226,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cfbancorp.html
"Westernbank Puerto Rico

En Espa̱ol
",Mayaguez,PR,31027,Banco Popular de Puerto Rico,"April 30, 2010",10231,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westernbank-puertorico.html
"R-G Premier Bank of Puerto Rico

En Espa̱ol
",Hato Rey,PR,32185,Scotiabank de Puerto Rico,"April 30, 2010",10230,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/r-gpremier-puertorico.html
"Eurobank

En Espa̱ol
",San Juan,PR,27150,Oriental Bank and Trust,"April 30, 2010",10229,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/eurobank-puertorico.html
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,"April 23, 2010",10224,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wheatland.html
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,"April 23, 2010",10223,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peotone.html
Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,"April 23, 2010",10221,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lincoln-park.html
New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.","April 23, 2010",10222,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/new-century-il.html
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,"April 23, 2010",10220,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens-bank.html
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.","April 23, 2010",10219,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/broadway.html
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,"April 23, 2010",10218,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amcore.html
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,"April 16, 2010",10212,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citybank.html
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.","April 16, 2010",10217,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tamalpais.html
Innovative Bank,Oakland,CA,23876,Center Bank,"April 16, 2010",10214,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/innovative.html
Butler Bank,Lowell,MA,26619,People's United Bank,"April 16, 2010",10211,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/butlerbank.html
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.","April 16, 2010",10216,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverside-natl.html
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.","April 16, 2010",10210,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americanfirst.html
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.","April 16, 2010",10213,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ffbnf.html
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,"April 16, 2010",10215,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lakeside-comm.html
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,"April 9, 2010",10209,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/beachfirst.html
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,"March 26, 2010",10205,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/deserthills.html
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,"March 26, 2010",10208,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unity-natl.html
Key West Bank,Key West,FL,34684,Centennial Bank,"March 26, 2010",10206,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/key-west.html
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,"March 26, 2010",10207,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mcintosh.html
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,"March 19, 2010",10203,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/state-aurora.html
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,"March 19, 2010",10204,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstlowndes.html
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,"March 19, 2010",10202,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofhiawassee.html
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,"March 19, 2010",10199,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/appalachian.html
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,"March 19, 2010",10200,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/advanta-ut.html
Century Security Bank,Duluth,GA,58104,Bank of Upson,"March 19, 2010",10198,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cent-security.html
American National Bank,Parma,OH,18806,The National Bank and Trust Company,"March 19, 2010",10201,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amer-natl-oh.html
Statewide Bank,Covington,LA,29561,Home Bank,"March 12, 2010",10196,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/statewide.html
Old Southern Bank,Orlando,FL,58182,Centennial Bank,"March 12, 2010",10197,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oldsouthern.html
The Park Avenue Bank,New York,NY,27096,Valley National Bank,"March 12, 2010",10195,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/parkavenue-ny.html
LibertyPointe Bank,New York,NY,58071,Valley National Bank,"March 11, 2010",10194,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/libertypointe.html
Centennial Bank,Ogden,UT,34430,No Acquirer,"March 5, 2010",10193,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centennial-ut.html
Waterfield Bank,Germantown,MD,34976,No Acquirer,"March 5, 2010",10190,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waterfield.html
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,"March 5, 2010",10191,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofillinois.html
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,"March 5, 2010",10192,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunamerican.html
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,"February 26, 2010",10189,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rainier.html
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,"February 26, 2010",10188,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/carsonriver.html
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB","February 19, 2010",10185,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lajolla.html
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.","February 19, 2010",10184,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/georgewashington.html
The La Coste National Bank,La Coste,TX,3287,Community National Bank,"February 19, 2010",10186,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lacoste.html
Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,"February 19, 2010",10187,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/marco.html
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB","February 5, 2010",10183,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/1stamerican.html
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,"January 29, 2010",10178,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americanmarine.html
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,"January 29, 2010",10177,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstregional.html
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,"January 29, 2010",10180,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cbt-cornelia.html
"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,"January 29, 2010",10182,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/marshall-mn.html
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.","January 29, 2010",10181,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/floridacommunity.html
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,"January 29, 2010",10179,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnational-carrollton.html
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,"January 22, 2010",10176,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/columbiariver.html
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,"January 22, 2010",10172,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/evergreen-wa.html
Charter Bank,Santa Fe,NM,32498,Charter Bank,"January 22, 2010",10175,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/charter-nm.html
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.","January 22, 2010",10174,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/leeton.html
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.","January 22, 2010",10173,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premieramerican.html
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,"January 15, 2010",10171,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/barnes.html
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,"January 15, 2010",10169,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ststephen.html
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,"January 15, 2010",10170,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/towncommunity.html
Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,"January 8, 2010",10168,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/horizon-wa.html
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB","December 18, 2009",10167,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstfederal-ca.html
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,"December 18, 2009",10161,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/imperialcapital.html
Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),"December 18, 2009",10166,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ibb.html
New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,"December 18, 2009",10163,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newsouth.html
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,"December 18, 2009",10162,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensstate-mi.html
Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,"December 18, 2009",10165,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplesfirst-fl.html
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,"December 18, 2009",10164,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockbridge.html
SolutionsBank,Overland Park,KS,4731,Arvest Bank,"December 11, 2009",10160,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/solutions.html
"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,"December 11, 2009",10159,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/valleycapital.html
"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,"December 11, 2009",10158,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/republicfederal.html
Greater Atlantic Bank,Reston,VA,32583,Sonabank,"December 4, 2009",10156,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/atlantic-va.html
